ChassisSim Rig Replay Log
R LS Bump 13K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
1.920000	5.818222	-5.957759	0.129205	-0.000000	-11.366337	-11.366337	-6.002464	-6.002464	3.192640	3.192640	3.372938	3.372938	-84.770013	-84.770013	-96.329032	-96.329032
1.940000	6.486746	6.932840	0.045867	-0.000000	-2.962214	-2.962214	-0.966646	-0.966646	8.877595	8.877595	8.884731	8.884731	72.031054	72.031054	88.137737	88.137737
1.960000	5.624146	18.704261	-0.041019	0.000000	6.224635	6.224635	4.511319	4.511319	12.695327	12.695327	12.730676	12.730676	218.755246	218.755246	268.148057	268.148057
1.980000	3.421447	26.970314	-0.128458	0.000000	14.508150	14.508150	9.180220	9.180220	14.054019	14.054019	13.979897	13.979897	330.875980	330.875980	400.889605	400.889605
2.000000	0.399857	29.938542	-0.206817	-0.000000	20.289965	20.289965	11.914460	11.914460	12.685808	12.685808	12.289750	12.289750	383.654009	383.654009	453.114060	453.114060
2.020000	-2.704699	26.847530	-0.249908	-0.000000	22.163449	22.163449	12.428642	12.428642	8.705284	8.705284	7.747811	7.747811	357.636399	357.636399	400.153915	400.153915
2.040000	-5.117470	18.214663	-0.233353	-0.000000	19.413204	19.413204	10.104032	10.104032	2.784012	2.784012	2.105538	2.105538	248.956616	248.956616	277.543597	277.543597
2.060000	-6.220361	5.718742	-0.163711	0.000000	12.261421	12.261421	5.497228	5.497228	-3.508399	-3.508399	-3.766215	-3.766215	87.331475	87.331475	96.571566	96.571566
2.080000	-5.717518	-8.141924	-0.069430	0.000000	2.379799	2.379799	-0.532421	-0.532421	-8.803101	-8.803101	-8.912142	-8.912142	-93.866882	-93.866882	-118.662865	-118.662865
2.100000	-3.725271	-20.480180	0.034535	-0.000000	-8.192769	-8.192769	-6.764536	-6.764536	-12.095969	-12.095969	-12.131270	-12.131270	-259.476141	-259.476141	-317.901042	-317.901042
2.120000	-0.757137	-28.638962	0.138986	0.000000	-17.385778	-17.385778	-11.704483	-11.704483	-12.778499	-12.778499	-12.622323	-12.622323	-374.692537	-374.692537	-450.935509	-450.935509
2.140000	2.399200	-30.862782	0.274190	0.000000	-23.649402	-23.649402	-12.323123	-12.323123	-9.175046	-9.175046	-11.158073	-11.158073	-362.071083	-362.071083	-515.587477	-515.587477
2.160000	4.886469	-26.831451	0.375703	-0.000000	-23.649402	-23.649402	-12.323123	-12.323123	-7.294981	-7.294981	-4.504270	-4.504270	-379.496290	-379.496290	-361.001789	-361.001789
2.180000	6.012391	-17.265199	0.328584	-0.000000	-20.222668	-20.222668	-9.628966	-9.628966	-3.394972	-3.394972	0.317545	0.317545	-297.596533	-297.596533	-218.152929	-218.152929
2.200000	5.450028	-4.223286	0.112258	0.000000	-11.421719	-11.421719	-5.126379	-5.126379	5.334291	5.334291	3.765974	3.765974	-6.355980	-6.355980	-65.903404	-65.903404
2.220000	3.344243	9.455403	-0.061617	0.000000	1.553209	1.553209	0.693641	0.693641	9.119546	9.119546	7.267028	7.267028	178.548702	178.548702	146.765643	146.765643
2.240000	0.287236	20.712520	-0.117119	-0.000000	12.076050	12.076050	7.246152	7.246152	10.175661	10.175661	10.070159	10.070159	307.774742	307.774742	370.316436	370.316436
2.260000	-2.838201	27.027686	-0.149589	-0.000000	19.322584	19.322584	12.243613	12.243613	9.341837	9.341837	10.194302	10.194302	379.737184	379.737184	495.553234	495.553234
2.280000	-5.109546	26.989215	-0.218191	0.000000	22.762521	22.762521	13.711325	13.711325	7.332701	7.332701	7.127837	7.127837	388.527051	388.527051	467.327842	467.327842
2.300000	-5.839876	20.773162	-0.266342	0.000000	21.549663	21.549663	11.549449	11.549449	3.801945	3.801945	2.367554	2.367554	302.055774	302.055774	314.068473	314.068473
2.320000	-4.795006	10.047790	-0.224799	0.000000	14.921600	14.921600	6.346331	6.346331	-0.549711	-0.549711	-1.669360	-1.669360	134.297221	134.297221	120.867384	120.867384
