ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 45mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
2.140000	2.619141	-27.783718	0.229949	0.000000	-21.954688	-21.954688	-12.219397	-12.219397	-9.324199	-9.324199	-9.325741	-9.325741	-372.444760	-372.444760	-454.398122	-454.398122
2.160000	5.024802	-23.088597	0.271900	0.000000	-22.019000	-22.019000	-12.173514	-12.173514	-5.687290	-5.687290	-3.803405	-3.803405	-334.304060	-334.304060	-336.597104	-336.597104
2.180000	6.029908	-13.512614	0.212793	0.000000	-17.300981	-17.300981	-9.260851	-9.260851	0.144537	0.144537	1.258121	1.258121	-184.359232	-184.359232	-182.066858	-182.066858
2.200000	5.340696	-1.193361	0.076016	-0.000000	-8.027597	-8.027597	-4.314301	-4.314301	5.682311	5.682311	5.174729	5.174729	9.725853	9.725853	-7.206220	-7.206220
2.220000	3.138168	11.153435	-0.043927	-0.000000	2.829373	2.829373	1.563393	1.563393	9.074457	9.074457	8.442439	8.442439	184.337252	184.337252	200.733106	200.733106
2.240000	0.043250	20.752865	-0.123728	-0.000000	12.483180	12.483180	7.288423	7.288423	10.031190	10.031190	9.996046	9.996046	310.869941	310.869941	377.707503	377.707503
2.260000	-3.048801	25.397429	-0.191622	0.000000	19.205774	19.205774	11.042413	11.042413	8.990696	8.990696	9.049051	9.049051	375.064864	375.064864	459.750018	459.750018
2.280000	-5.223811	24.029006	-0.248804	-0.000000	21.753642	21.753642	11.958050	11.958050	6.306096	6.306096	5.465970	5.465970	359.531209	359.531209	406.978409	406.978409
2.300000	-5.822524	17.155323	-0.238821	-0.000000	19.204136	19.204136	10.498141	10.498141	2.044371	2.044371	0.452059	0.452059	245.730370	245.730370	239.077773	239.077773
2.320000	-4.650215	6.618810	-0.141646	0.000000	11.549529	11.549529	5.709223	5.709223	-2.476718	-2.476718	-2.692075	-2.692075	68.465837	68.465837	75.046035	75.046035
2.340000	-2.053045	-4.978914	-0.014509	0.000000	1.150342	1.150342	0.088877	0.088877	-5.806331	-5.806331	-5.344328	-5.344328	-116.360610	-116.360610	-124.429896	-124.429896
2.360000	1.171165	-14.871307	0.087751	-0.000000	-8.978520	-8.978520	-5.575415	-5.575415	-7.106511	-7.106511	-6.780091	-6.780091	-257.548061	-257.548061	-301.661071	-301.661071
2.380000	4.009656	-20.729959	0.163558	0.000000	-16.413879	-16.413879	-9.626654	-9.626654	-6.693048	-6.693048	-6.546297	-6.546297	-333.307189	-333.307189	-400.963604	-400.963604
2.400000	5.551809	-21.280387	0.218379	0.000000	-19.695358	-19.695358	-10.924535	-10.924535	-5.050864	-5.050864	-4.509520	-4.509520	-330.400517	-330.400517	-382.669238	-382.669238
2.420000	5.288084	-16.727277	0.216909	-0.000000	-18.061037	-18.061037	-10.213218	-10.213218	-2.310479	-2.310479	-0.794976	-0.794976	-237.092342	-237.092342	-231.682861	-231.682861
2.440000	3.290995	-8.633700	0.135080	-0.000000	-11.589255	-11.589255	-6.194823	-6.194823	0.684358	0.684358	1.080863	1.080863	-81.669358	-81.669358	-84.227410	-84.227410
2.460000	0.210505	0.675050	0.015160	-0.000000	-2.414480	-2.414480	-1.327724	-1.327724	2.898808	2.898808	2.436996	2.436996	83.379049	83.379049	84.248684	84.248684
2.480000	-2.925708	8.790042	-0.080802	0.000000	6.477108	6.477108	3.468006	3.468006	3.633156	3.633156	3.193521	3.193521	204.103694	204.103694	232.186480	232.186480
2.500000	-5.050277	13.739644	-0.143891	0.000000	12.685761	12.685761	6.777916	6.777916	3.343339	3.343339	3.142500	3.142500	261.345057	261.345057	311.109809	311.109809
2.520000	-5.423364	14.542187	-0.181414	-0.000000	15.006050	15.006050	7.797160	7.797160	2.569208	2.569208	2.029704	2.029704	248.947553	248.947553	283.376140	283.376140
2.540000	-3.901894	11.532861	-0.167420	0.000000	13.110203	13.110203	7.128661	7.128661	1.333392	1.333392	0.076398	0.076398	163.180638	163.180638	151.280138	151.280138
2.560000	-1.009425	6.117796	-0.088457	0.000000	7.445207	7.445207	3.812180	3.812180	0.185707	0.185707	0.031707	0.031707	37.387989	37.387989	39.466343	39.466343
2.580000	2.229938	0.152637	0.011137	0.000000	0.266687	0.266687	0.226610	0.226610	-0.383539	-0.383539	0.161347	0.161347	-81.315984	-81.315984	-78.548759	-78.548759
2.600000	4.646704	-4.648299	0.078930	-0.000000	-5.822645	-5.822645	-2.889811	-2.889811	-0.190863	-0.190863	0.253751	0.253751	-150.623348	-150.623348	-166.761882	-166.761882
2.620000	5.350209	-7.121924	0.112496	-0.000000	-9.091906	-9.091906	-4.506549	-4.506549	0.075674	0.075674	0.276206	0.276206	-164.177764	-164.177764	-192.635546	-192.635546
2.640000	4.067808	-7.024272	0.116292	-0.000000	-9.093970	-9.093970	-4.719570	-4.719570	0.055776	0.055776	0.683060	0.683060	-124.854690	-124.854690	-128.588606	-128.588606
2.660000	1.266439	-5.078270	0.074183	-0.000000	-6.145890	-6.145890	-3.660517	-3.660517	-0.201001	-0.201001	0.547926	0.547926	-45.584241	-45.584241	-26.992612	-26.992612
2.680000	-2.001875	-2.522076	-0.003977	-0.000000	-1.477684	-1.477684	-1.341207	-1.341207	-0.810351	-0.810351	-1.130514	-1.130514	37.230815	37.230815	33.450286	33.450286
2.700000	-4.486286	-0.509643	-0.069325	-0.000000	2.709829	2.709829	0.366176	0.366176	-1.746485	-1.746485	-2.395803	-2.395803	85.467252	85.467252	79.577039	79.577039
2.720000	-5.217202	0.279586	-0.089750	-0.000000	4.657130	4.657130	1.291508	1.291508	-2.572713	-2.572713	-3.062864	-3.062864	82.411397	82.411397	81.895001	81.895001
2.740000	-3.895947	-0.128377	-0.067570	0.000000	3.942622	3.942622	1.474309	1.474309	-2.743635	-2.743635	-3.197180	-3.197180	35.787141	35.787141	26.428773	26.428773
